"","Time","Central","East","NewD","North","NorthE","NorthW","South","SouthW","West"
"16","03:45 - 04:00",182.539063592233,182.539063592233,121.055861553398,465.492041111096,182.539063592233,282.952977518863,454.560381626767,476.707234927738,737.51335914563
"17","04:00 - 04:15",180.722549271845,180.722549271845,120.250273203883,460.48268695252,180.722549271845,279.760137680675,451.0942972902,473.193124474666,730.854434970875
"18","04:15 - 04:30",178.684059223301,178.684059223301,119.526508543689,455.603375350578,178.684059223301,276.919316127277,446.589181820943,468.65717007337,723.508497948221
"19","04:30 - 04:45",177.302738009709,177.302738009709,118.905641747573,451.58736287485,177.302738009709,274.284624865141,442.965351594407,465.142191885669,717.249976459548
"20","04:45 - 05:00",176.513257548544,176.513257548544,118.070682524272,448.08937853019,176.513257548544,271.576120981646,440.079107646187,462.465842306381,711.655228627833
"21","05:00 - 05:15",176.367271286408,176.367271286408,117.19150038835,446.165479679057,176.367271286408,269.798208392649,438.510837807997,461.316368973045,708.309046200646
"22","05:15 - 05:30",175.77947526699,175.77947526699,115.467171067961,442.784749420157,175.77947526699,267.005274153167,433.70522466884,456.705133795054,700.710498822007
"23","05:30 - 05:45",175.334405364078,175.334405364078,113.514371456311,440.152311200093,175.334405364078,264.817905836015,429.91495508955,453.224433050715,694.732860925565
"24","05:45 - 06:00",176.093974514563,176.093974514563,112.376700776699,439.156396078733,176.093974514563,263.06242156417,428.019784604113,451.771355186638,691.082206168284
"25","06:00 - 06:15",178.63441407767,178.63441407767,113.052821165049,441.500808619187,178.63441407767,262.866394541517,427.30706085007,451.469004733565,690.173455391587
"26","06:15 - 06:30",180.256706723301,180.256706723301,114.210045242718,443.010424824688,180.256706723301,262.753718101387,424.788678002173,449.169014312853,687.542396103561
"27","06:30 - 06:45",181.573744587379,181.573744587379,116.564766019417,443.821812688766,181.573744587379,262.248068101387,422.923270947157,447.45865007337,685.171339048544
"28","06:45 - 07:00",182.065746504854,182.065746504854,119.970198058252,443.310395836015,182.065746504854,261.244649331161,420.23701295363,444.894461303145,681.481662284791
"29","07:00 - 07:15",182.185203398058,182.185203398058,124.352968737864,442.484984088442,182.185203398058,260.299780690384,418.599227775637,443.391305639714,678.899008466021
"30","07:15 - 07:30",181.558882038835,181.558882038835,129.163704271845,441.688061887795,181.558882038835,260.12917984896,415.537978131623,440.56371046172,675.667157980583
"31","07:30 - 07:45",181.406260849514,181.406260849514,134.305529320388,441.646689727601,181.406260849514,260.240428878086,414.171509846833,439.66131256528,674.41193872492
"32","07:45 - 08:00",181.445519684466,181.445519684466,140.558741359223,442.159297785853,181.445519684466,260.713778101387,413.65711269473,439.634927063662,674.370890796117
"33","08:00 - 08:15",181.94931684466,181.94931684466,148.061633786408,443.884030706565,181.94931684466,261.934713861905,413.885221950393,440.492418261073,675.819935812298
"34","08:15 - 08:30",182.056917524272,182.056917524272,156.93757184466,444.931460415303,182.056917524272,262.874542891031,415.503701303143,442.791200429357,678.378244194175
"35","08:30 - 08:45",182.450153398058,182.450153398058,166.83619592233,447.152634994591,182.450153398058,264.702481596533,418.82501508955,446.682563341977,683.527496686083
"36","08:45 - 09:00",183.551615849514,183.551615849514,177.148730873786,450.83569090883,183.551615849514,267.284075059316,424.866640785343,453.181744086314,692.150715844659
"37","09:00 - 09:15",186.256276480582,186.256276480582,188.452497864078,459.337134937957,186.256276480582,273.080858457374,435.132566740037,463.862361011881,708.213425197411
"38","09:15 - 09:30",190.462342985437,190.462342985437,199.728559223301,475.563259565789,190.462342985437,285.100916580352,445.945722209293,474.995486189876,731.046638789645
"39","09:30 - 09:45",194.630627257282,194.630627257282,210.296083106796,493.441108044753,194.630627257282,298.810480787471,456.80620544554,486.12054767855,755.616686233011
"40","09:45 - 10:00",198.744154708738,198.744154708738,219.573530097087,508.263581483264,198.744154708738,309.519426774526,466.77734926431,496.348458681786,776.296776038836
"41","10:00 - 10:15",202.007092985437,202.007092985437,227.553442524272,519.879183805271,202.007092985437,317.872090819834,475.75494376269,505.506341723855,793.627034582524
"42","10:15 - 10:30",205.152098567961,205.152098567961,233.550203495146,529.637642365141,205.152098567961,324.48554379718,482.37689890832,512.257762500553,806.8624427055
"43","10:30 - 10:45",208.25903565534,208.25903565534,238.04229631068,537.876567413685,208.25903565534,329.617531758345,487.71319483065,517.667064345213,817.330726588995
"44","10:45 - 11:00",211.157520485437,211.157520485437,241.31524815534,544.207095124041,211.157520485437,333.049574638604,491.768793471427,521.677880073368,824.818368110031
"45","11:00 - 11:15",213.20243973301,213.20243973301,243.529540970874,548.835421847343,213.20243973301,335.632982114333,494.484225121913,524.494590170457,830.117207236247
"46","11:15 - 11:30",214.904723932039,214.904723932039,245.052606019417,553.242552324689,214.904723932039,338.33782839265,498.2257959957,528.423956578224,836.56362438835
"47","11:30 - 11:45",216.165366456311,216.165366456311,246.149212621359,557.124142615951,216.165366456311,340.95877615964,500.798110170457,531.04686745201,841.756886330097
"48","11:45 - 12:00",218.203506601942,218.203506601942,247.237604466019,561.503156677438,218.203506601942,343.299650075497,503.45756428049,533.8049765135,846.757214355987
"49","12:00 - 12:15",219.735317597087,219.735317597087,248.669434951456,565.129513044754,219.735317597087,345.394195447667,506.41464745201,536.850522209292,851.808842899677
"50","12:15 - 12:30",220.858314514563,220.858314514563,249.170139029126,567.814449088443,220.858314514563,346.95613457388,508.79114518664,539.312793827417,855.74727976052
"51","12:30 - 12:45",221.807284174757,221.807284174757,250.001045631068,570.276774379704,221.807284174757,348.469490204947,511.11559217693,541.642814215765,859.585082381877
"52","12:45 - 13:00",221.408124053398,221.408124053398,250.715895145631,567.175958983265,221.408124053398,345.767834929867,512.11304835816,542.698786319325,857.880883288027
