"","Time","Central","East","NewD","North","NorthE","NorthW","South","SouthW","West"
"38","09:15 - 09:30",181.892991516035,181.892991516035,156.292900406332,469.396566699708,181.892991516035,287.503575183673,427.96522326203,462.756837489435,715.468798445703
"39","09:30 - 09:45",182.679350728863,182.679350728863,159.638059706624,478.607448944606,182.679350728863,295.928098215743,429.71534400061,464.067619685741,725.643442216353
"40","09:45 - 10:00",182.690122536443,182.690122536443,162.481440464641,484.792109226434,182.690122536443,302.10198668999,430.00893564298,463.941761298957,732.11092233297
"41","10:00 - 10:15",182.290379067056,182.290379067056,164.736355916536,487.283546359572,182.290379067056,304.993167292517,428.45019799478,461.826738169707,733.443365287297
"42","10:15 - 10:30",181.363950408163,181.363950408163,166.390350318869,487.433117661808,181.363950408163,306.069167253644,425.642145400027,458.456038111397,731.711312653671
"43","10:30 - 10:45",180.132534956268,180.132534956268,167.538011636653,485.978833444121,180.132534956268,305.846298487852,421.48127998506,453.609864358238,727.327578472912
"44","10:45 - 11:00",178.465857813411,178.465857813411,168.096994143942,483.160225805636,178.465857813411,304.694367992225,416.537657205663,447.936927526363,721.232025197889
"45","11:00 - 11:15",176.422448174927,176.422448174927,167.985148313038,478.209569986395,176.422448174927,301.787121811467,409.788825407803,440.426494795558,711.575947219271
"46","11:15 - 11:30",174.422862472303,174.422862472303,167.709736199918,473.594854954325,174.422862472303,299.171992482021,404.085047132583,434.221824975149,703.257039614605
"47","11:30 - 11:45",172.204914204082,172.204914204082,167.139672876303,468.397021749271,172.204914204082,296.192107545189,397.980365383313,427.592193954742,694.172472928503
"48","11:45 - 12:00",170.083412454811,170.083412454811,166.556244771347,463.356821963071,170.083412454811,293.27340950826,391.60817790032,420.804525422186,684.88158740858
"49","12:00 - 12:15",167.457712501458,167.457712501458,165.902929109539,457.220618141885,167.457712501458,289.762905640428,383.540866833263,412.36801552131,673.303772473691
"50","12:15 - 12:30",165.018090950437,165.018090950437,165.281123861726,450.801779681244,165.018090950437,285.783688730807,376.790209573787,405.215515696236,662.573898304593
"51","12:30 - 12:45",162.242728034986,162.242728034986,164.859137855895,443.741119661807,162.242728034986,281.498391626822,370.639692294877,398.624030487296,652.138083921699
"52","12:45 - 13:00",158.500704536443,158.500704536443,164.390003861726,432.366292431487,158.500704536443,273.865587895044,362.68216572539,390.321034530055,636.547753620434
"53","13:00 - 13:15",152.711954303207,152.711954303207,163.890179605166,407.447949972789,152.711954303207,254.735995669582,349.00981711509,376.145210701096,603.745812784672
"54","13:15 - 13:30",148.945564338192,148.945564338192,161.954959663475,393.469338355685,148.945564338192,244.523774017493,340.91427732889,367.300026600027,585.438051346383
"55","13:30 - 13:45",147.47870425656,147.47870425656,159.491910100793,393.095652073858,147.47870425656,245.616947817298,338.449839155907,363.853687552408,584.066786973205
"56","13:45 - 14:00",147.159159002915,147.159159002915,157.574173541026,398.026518209913,147.159159002915,250.867359206997,337.09148801888,361.772234374565,587.958847225877
"57","14:00 - 14:15",146.616809090379,146.616809090379,156.346156164933,399.512911076774,146.616809090379,252.896101986395,335.649070137443,359.671367513537,588.545172123838
"58","14:15 - 14:30",145.756024530612,145.756024530612,155.517629401085,400.098383154519,145.756024530612,254.342358623907,334.00299833958,357.476292800221,588.345356963487
"59","14:30 - 14:45",145.09559154519,145.09559154519,155.040621455895,399.974643308066,145.09559154519,254.879051762877,332.194640366014,355.12424969546,587.07369212889
"60","14:45 - 15:00",144.277505463557,144.277505463557,154.503555216828,398.852400258503,144.277505463557,254.574894794947,330.146066410717,352.542206352408,584.720961205664
"61","15:00 - 15:15",143.515609551021,143.515609551021,153.938836033155,397.179438417881,143.515609551021,253.663828866861,328.586783028793,350.617080404886,582.250611895654
"62","15:15 - 15:30",142.448790740525,142.448790740525,153.013114167265,394.630881259475,142.448790740525,252.18209051895,325.66991916096,347.322768140552,577.85200967991
"63","15:30 - 15:45",141.755303253644,141.755303253644,152.022857374262,393.024328233236,141.755303253644,251.269024979592,324.013604486519,345.539710608968,575.282629466111
"64","15:45 - 16:00",141.796700845481,141.796700845481,151.074123146857,392.302233891156,141.796700845481,250.505533045675,323.431243320338,345.03104623579,573.936776366013
"65","16:00 - 16:15",142.383973492711,142.383973492711,150.426890727032,392.567511941691,142.383973492711,250.18353844898,324.542557606052,346.43043049235,574.726096055032
"66","16:15 - 16:30",142.970967405248,142.970967405248,149.582880581259,392.702751257531,142.970967405248,249.731783852284,326.492538169706,348.641114263001,576.22432202199
"67","16:30 - 16:45",144.334842758017,144.334842758017,148.781991601668,394.872563908649,144.334842758017,250.537721150632,329.955319199833,352.782463223157,580.493040350465
"68","16:45 - 17:00",146.645511533528,146.645511533528,148.258344721201,398.900918748299,146.645511533528,252.255407214772,334.78784464201,358.545465633264,587.043251856782
"69","17:00 - 17:15",150.134426892128,150.134426892128,148.227511718286,406.260513407191,150.134426892128,256.126086515063,342.66566687719,367.576710608968,598.791753392253
"70","17:15 - 17:30",153.849224635569,153.849224635569,147.741848044816,413.458642034985,153.849224635569,259.609417399417,350.691037683797,376.738130395167,610.300455083214
"71","17:30 - 17:45",158.87328283965,158.87328283965,147.297654342192,422.734686244898,158.87328283965,263.861403405248,361.651782601193,388.93633187233,625.513186006441
"72","17:45 - 18:00",164.315454034985,164.315454034985,147.883166178927,434.578033727891,164.315454034985,270.262579692906,375.59794341752,404.316601143467,645.860523110426
"73","18:00 - 18:15",169.542392979592,169.542392979592,149.424461222659,446.654645325559,169.542392979592,277.112252345967,389.294534787783,419.300046158046,666.40678713375
"74","18:15 - 18:30",174.253928029155,174.253928029155,150.944579823242,457.86906814966,174.253928029155,283.615140120505,400.703522504013,431.818692183314,684.318662624519
"75","18:30 - 18:45",177.853765008746,177.853765008746,152.073129677469,466.776143185617,177.853765008746,288.922378176871,408.571292494293,440.563774126946,697.493670671164
"76","18:45 - 19:00",179.857126099125,179.857126099125,152.463624487965,471.502655568513,179.857126099125,291.645529469388,412.627188276607,445.255787693516,704.272717745994
"77","19:00 - 19:15",180.104636909621,180.104636909621,151.58482658709,469.834765640428,180.104636909621,289.730128730807,412.95283235824,445.886398538998,702.682961089047
"78","19:15 - 19:30",179.154181895044,179.154181895044,150.217656441318,467.252030586978,179.154181895044,288.097848691934,411.261203164847,444.387497042398,699.359051856781
"79","19:30 - 19:45",176.888323411079,176.888323411079,148.461420173096,461.775288876579,176.888323411079,284.8869654655,408.149734554547,441.423655254255,693.036700020047
"80","19:45 - 20:00",174.223943061225,174.223943061225,146.326013059394,454.487263395529,174.223943061225,280.263320334305,403.95234038545,437.305194029765,684.215660719755
"81","20:00 - 20:15",170.454070116618,170.454070116618,143.529122330531,444.95859328863,170.454070116618,274.504523172012,397.259223223157,430.389574243565,671.763746395168
"82","20:15 - 20:30",167.243054956268,167.243054956268,141.102981339277,435.939510450923,167.243054956268,268.696455494655,392.96534718817,425.889536109453,661.661802682825
"83","20:30 - 20:45",163.993010349854,163.993010349854,139.175077549189,425.167654182702,163.993010349854,261.174643832847,387.019568373787,419.48340510848,648.194212206634
"84","20:45 - 21:00",160.233799766764,160.233799766764,137.117190435487,412.767356136054,160.233799766764,252.533556369291,380.182943028793,412.057065477773,632.716499398084
"85","21:00 - 21:15",155.07842090379,155.07842090379,134.543501922367,396.041900071914,155.07842090379,240.963479168124,368.721250511787,399.548770045314,609.684729679911
"86","21:15 - 21:30",151.670397172012,151.670397172012,132.196192417994,388.045875795918,151.670397172012,236.375478623907,361.208252649783,391.149561104594,597.58373127369
"87","21:30 - 21:45",148.418319912537,148.418319912537,130.192326878636,381.688149440233,148.418319912537,233.269829527697,352.821008140553,381.713015137638,586.09083766825
