"","Time","Central","East","NewD","North","NorthE","NorthW","South","SouthW","West"
"29","07:00 - 07:15",186.280123600079,186.280123600079,130.563068497692,461.445444327132,186.280123600079,275.165320727053,424.85489766051,451.086168675003,700.020218387563
"30","07:15 - 07:30",185.760893092833,185.760893092833,135.646820526678,461.280900940659,185.760893092833,275.520007847826,422.696954742637,449.252906191912,698.216962590463
"31","07:30 - 07:45",185.702165882688,185.702165882688,141.876534584649,461.78866528607,185.702165882688,276.086499403382,421.301178162927,448.371034684666,697.387677566308
"32","07:45 - 08:00",185.983920230514,185.983920230514,148.734309077402,462.509809005877,185.983920230514,276.525888775362,420.526002269207,448.269412414134,697.051891044569
"33","08:00 - 08:15",186.615489976891,186.615489976891,157.030022410736,463.496227032447,186.615489976891,276.880737055556,421.259921573553,449.749898385148,698.140658629109
"34","08:15 - 08:30",187.095702150804,187.095702150804,166.727097628127,465.358588017954,187.095702150804,278.26288586715,423.506009573553,452.657961747466,701.768895440703
"35","08:30 - 08:45",187.755085882688,187.755085882688,177.109897773055,468.161460213606,187.755085882688,280.406374330918,428.07363081993,457.739544588046,708.480005150848
"36","08:45 - 09:00",188.652998491384,188.652998491384,187.80245038175,471.749081691867,188.652998491384,283.096083200483,434.080831370657,464.206168327178,717.17691457114
"37","09:00 - 09:15",190.884678201529,190.884678201529,198.82058096146,479.569927363364,190.884678201529,288.685249161836,444.065605795777,474.708094201574,732.750854957612
"38","09:15 - 09:30",195.059048237761,195.059048237761,209.704919657113,495.672462375442,195.059048237761,300.613414137681,455.67148850109,486.65676966051,756.284902638771
"39","09:30 - 09:45",199.281329469645,199.281329469645,220.357075309286,513.753178080756,199.281329469645,314.471848611111,466.43099876196,497.647095863409,780.902847373071
"40","09:45 - 10:00",203.004943455152,203.004943455152,228.971678787547,527.926441177374,203.004943455152,324.921497722222,476.417158829593,507.908018249883,801.338656551816
"41","10:00 - 10:15",207.214445266746,207.214445266746,236.571137628127,540.144939964814,207.214445266746,332.930494698068,484.595756056647,516.031049534908,817.526250754714
"42","10:15 - 10:30",210.178270882688,210.178270882688,241.95725038175,549.067004266745,210.178270882688,338.888733384057,489.588236646017,521.183601863408,828.476970030073
"43","10:30 - 10:45",213.155949034862,213.155949034862,245.657160091895,556.362144360949,213.155949034862,343.206195326087,493.29539465568,524.910585960028,836.501589981767
"44","10:45 - 11:00",215.60230052037,215.60230052037,248.665207048417,562.383288474476,215.60230052037,346.780987954107,497.13019618225,528.680175892395,843.911184136357
"45","11:00 - 11:15",217.84000610008,217.84000610008,250.637530526678,567.1332516967,217.84000610008,349.29324559662,499.008160472103,530.556183660509,848.301406068723
"46","11:15 - 11:30",219.350559252254,219.350559252254,251.84291038175,570.20124641409,219.350559252254,350.850687161837,501.32443393104,532.91604335133,852.175121092877
"47","11:30 - 11:45",220.792313165297,220.792313165297,252.851798932475,573.24088815322,220.792313165297,352.448574987923,503.558377747467,535.238953834423,856.00695273539
"48","11:45 - 12:00",222.173278708775,222.173278708775,253.524553135373,576.441943918919,222.173278708775,354.268665210143,505.42733424022,537.283990037321,859.695999450363
"49","12:00 - 12:15",223.089009542108,223.089009542108,254.400529657113,578.780845718439,223.089009542108,355.69183617633,506.35138651075,538.220593757127,862.04322268708
"50","12:15 - 12:30",223.306479542108,223.306479542108,254.461028787547,579.604899892348,223.306479542108,356.29842035024,507.323305332007,539.21195750592,863.621725682247
"51","12:30 - 12:45",223.502901933413,223.502901933413,254.451104874504,580.464802071093,223.502901933413,356.96190013768,508.108086993843,539.951536993843,865.069987131523
"52","12:45 - 13:00",223.220671687036,223.220671687036,254.134424874504,577.304891892349,223.220671687036,354.084220205313,508.415044752297,540.309625187079,862.49926495761
"53","13:00 - 13:15",220.632934382688,220.632934382688,254.236580236823,560.350120017955,220.632934382688,339.717185635267,502.726673525243,534.336255409301,842.44385916051
"54","13:15 - 13:30",219.723858331964,219.723858331964,252.6566074832,553.91690771602,219.723858331964,334.193049384057,501.916656829593,533.044243786115,836.10970621365
"55","13:30 - 13:45",220.434669621819,220.434669621819,251.157204584649,559.181041856119,220.434669621819,338.7463722343,505.647783061477,536.144742481767,844.394155295777
"56","13:45 - 14:00",223.086648520369,223.086648520369,250.051630816533,570.031073324716,223.086648520369,346.944424804347,511.728048800607,541.809937931041,858.672473604953
"57","14:00 - 14:15",225.667305223268,225.667305223268,249.825252410736,578.377544133895,225.667305223268,352.710238910627,517.308971892393,547.048332761958,870.01921080302
"58","14:15 - 14:30",227.565778563848,227.565778563848,250.077318352765,585.765255213608,227.565778563848,358.19947664976,522.712807583217,552.168099612202,880.912284232977
"59","14:30 - 14:45",229.800961491384,229.800961491384,250.796933570156,593.199076556601,229.800961491384,363.398115065217,527.468559650847,556.545629216064,890.866674716063
