"","id_grid","X","id_discom","id_subdiv","x","y","area_intersection","id_intersect","area_subdiv","area_discom","weight_in_subdiv","weight_in_discom","area_grid","weight_in_grid"
"47","LODHI ROAD",105,"NDMC","Chanakyapuri",-1054429.38989702,3267023.92357645,5858607.88155647,11,18948260.9743814,48353308.4082827,0.309189739864649,0.121162503133972,61599726.6765934,0.0951076928038159
"48","LODHI ROAD",31,"BRPL","Daryaganj",-1051052.87592625,3270205.82557021,29223.8232215821,46,6992759.26330147,770007528.14153,0.00417915476869781,3.79526461151828e-05,61599726.6765934,0.000474414819647025
"49","LODHI ROAD",111,"NDMC","Daryaganj",-1051347.07585626,3270262.70696019,39712.7362682788,1,6992759.26330147,48353308.4082827,0.00567912247125312,0.000821303393202277,61599726.6765934,0.000644690137616613
"50","LODHI ROAD",24,"BRPL","Vasant Vihar",-1057097.67776967,3264366.42544897,117516.032407884,67,97787044.6336408,770007528.14153,0.0012017546173745,0.000152616731801984,61599726.6765934,0.00190773626358536
"51","LODHI ROAD",109,"NDMC","Defence Colony",-1052164.94287145,3267713.68110114,2816598.480019,13,48638677.7079862,48353308.4082827,0.0579086153807288,0.0582503777453319,61599726.6765934,0.0457242041804261
"52","LODHI ROAD",115,"NDMC","Vasant Vihar",-1057009.50509235,3265241.37468349,1095122.21582856,17,97787044.6336408,48353308.4082827,0.0111990521845858,0.0226483409693839,61599726.6765934,0.0177780369315288
"53","LODHI ROAD",36,"BRPL","Defence Colony",-1051319.08128895,3264706.03595493,32823093.6952128,53,48638677.7079862,770007528.14153,0.674835238989719,0.042626977653626,61599726.6765934,0.532844794385831
"54","LODHI ROAD",116,"NDMC","Hauz Khas",-1055965.75691374,3264578.43212858,2794867.94874654,14,164380210.216045,48353308.4082827,0.0170024599985195,0.0578009662781997,61599726.6765934,0.0453714342503492
"55","LODHI ROAD",70,"BYPL","Daryaganj",-1050885.19171144,3270172.58900755,9635.54973035577,99,6992759.26330147,186262579.403726,0.00137793242517641,5.17310012628496e-05,61599726.6765934,0.000156421955911325
"56","LODHI ROAD",107,"NDMC","Connaught Place",-1052156.09921191,3269166.43060597,2071818.04492582,7,6119752.00934554,48353308.4082827,0.338546078625723,0.0428474930284383,61599726.6765934,0.0336335590546227
"57","LODHI ROAD",78,"BYPL","Gandhi Nagar",-1050167.549212,3269472.55274807,420428.425749916,107,6171605.41213555,186262579.403726,0.0681230243468265,0.00225718137854536,61599726.6765934,0.00682516706538683
"58","LODHI ROAD",51,"BYPL","Connaught Place",-1050778.85078302,3270081.49967434,2594.07855323977,110,6119752.00934554,186262579.403726,0.000423886221088424,1.39269979055593e-05,61599726.6765934,4.21118516784826e-05
