"","subdiv_name","population","scheduled_caste","literacy","tot_workers","main_workers","marginal_workers","female","male","female_workers","male_workers","total_household","total_hh_good","total_hh_liveable","total_hh_dilapidated","total_residence_household","res_good","res_liveable","res_dilapidated","other_total_households","other_good","other_liveable","other_dilapidated","intersection_id","discom_ratio","subdiv_ratio","discom_name","district_name"
"20","Gandhi Nagar",381332.672342441,36226.6038725319,345106.06846991,126602.447217691,122789.120494266,3813.32672342441,180101.710684161,201230.96165828,16029.0522508903,110475.797950396,341827.023407774,252807.409173809,82444.181248452,6575.43298551235,327047.973355842,243182.989292712,77580.8494143676,6284.13464876235,14779.050051932,9624.41988109758,4863.33183408439,291.298336749997,"3 15",0.0319597666939425,0.9645640289735,"BYPL","East"
"21","Hauz Khas",20935.00997897,3747.36678623563,18192.5236717249,7034.16335293392,6636.39816333349,397.76518960043,9739.817476847,11195.192502123,1129.81882731425,5899.86644861883,9414.63615530603,6284.09221299669,2858.58959463285,271.954347676487,9105.99049895271,6105.19232889216,2738.51822212323,262.279947937324,308.645656353315,178.899884104533,120.071372509619,9.67439973916357,"0 22",0.0578009662782365,0.01700245999853,"NDMC","South"
"22","Hauz Khas",1210357.99002103,216654.080213764,1051801.09332828,406680.284647066,383683.482836667,22996.8018103996,563107.727977698,647250.262043332,65320.496445413,341100.888096836,544307.363844694,363314.907787003,165269.410405367,15723.0456523235,526463.009501047,352971.807671108,158327.481777877,15163.7200520627,17844.3543436467,10343.1001158955,6941.92862749038,559.325600260836,"2 22",0.209849042200012,0.98299754000147,"BRPL","South"
"23","Kalkaji",862861,134606.316,727391.823,278704.103,260584.022,18120.081,393659.803697662,469201.196302338,35429.3823327896,243515.420880914,553722,369599,168128,15995,535569,359077,161066,15426,18153,10522,7062,569,"2 21",0.0872567844979319,1,"BRPL","South"
"24","Karol Bagh",24047.393630238,10436.5688355233,21907.1755971468,9089.91479222995,8681.1091005159,384.758298083807,11450.5399737487,12596.8536564892,1717.58099606231,7369.1593890462,20172.3196649176,11584.3797571298,7937.45842941873,650.481478369016,19375.8979577074,11200.6044870772,7550.33832903078,624.955141599461,796.42170721013,383.775270052627,387.120100387948,25.5263367695554,"0 14",0.0169736862104351,0.176043701859003,"NDMC","Central"
"25","Karol Bagh",159.864205485518,69.3810651807147,145.636291197307,60.4286696735257,57.7109781802719,2.55782728776828,76.1218244035283,83.7423810819894,11.4182736605292,48.9892929329638,134.103175820972,77.0115753246291,52.7672771903969,4.32432330594651,128.808659275343,74.4602830899976,50.1937489225278,4.15462726281736,5.29451654562978,2.5512922346315,2.57352826786912,0.16969604312916,"4 14",1.03025200510945e-05,0.00117031753882179,"NDPL","Central"
"26","Karol Bagh",112391.742164276,48778.016099296,102388.877111656,42484.0785380965,40573.4189213038,1798.26787462842,53517.0736654412,58874.6684988353,8027.56104981618,34441.6810718186,94280.5771592614,54142.6086675455,37097.7742933909,3040.19419832504,90558.2933830172,52348.9352298328,35288.4679220467,2920.89023113772,3722.28377624424,1793.67343771274,1809.30637134418,119.303967187315,"3 14",0.0205941153844318,0.822785980602175,"BYPL","Central"
"27","Kotwali",69174,8370.054,60942.294,25594.38,24280.074,1314.306,31538.5266594124,37635.4733405876,2743.85181936888,22807.0968443961,175890,105054,64825,6011,167762,100686,61353,5723,8128,4368,3472,288,"3 8",0.0188536391948187,1,"BYPL","North"
"28","Model Town",595810,107245.8,499884.59,200787.97,194234.06,7149.72,276683.058382432,319126.941617568,28775.0380717729,172328.548473487,730034,449339,255851,24844,704294,435114,245086,24094,25740,14225,10765,750,"4 2",0.0440385644529256,1,"NDPL","North West"
"29","Najafgarh",19451.0332266264,2450.83018655493,17194.7133723378,6165.97753284058,5835.30996798793,330.66756485265,9060.52402436873,10390.5092022577,878.870830363767,5278.37867474693,6593.69326518393,4564.57083495614,1856.10587494975,173.016555278039,6350.19059453404,4415.39160957847,1773.46599842726,161.332986528307,243.502670649895,149.179225377671,82.6398765224923,11.6835687497317,"1 25",0.0808521275090701,0.0142482545728435,"MES","South West"
"30","Najafgarh",1345700.96677337,169558.321813445,1189599.65462766,426587.206467159,403710.290032012,22876.9164351473,626843.612727768,718857.354045605,60803.8304345935,365179.535855168,456178.306734816,315795.429165044,128412.89412505,11969.983444722,439331.809405466,305474.608390421,122695.534001573,11161.6670134717,16846.4973293501,10320.8207746223,5717.36012347751,808.316431250268,"2 25",0.345308375000178,0.985751745427156,"BRPL","South West"
"31","Narela",809913,155503.296,659269.182,255122.595,240544.161,14578.434,370220.817589577,439692.182410423,34060.315218241,221165.167752443,730034,449339,255851,24844,704294,435114,245086,24094,25740,14225,10765,750,"4 0",0.517297756023431,1,"NDPL","North West"
"32","Paharganj",8022.4560039782,2462.89399322131,6754.90795534964,2864.01679342022,2671.47784932474,200.561400099455,3750.64769515061,4271.80830882758,423.82318955202,2443.47435264938,5264.60897028199,3023.31266793298,2071.53245352505,169.763848823967,5056.7573729668,2923.15429433724,1970.50113997595,163.101938653609,207.85159731519,100.158373595737,101.031313549095,6.66191017035867,"0 13",0.0038144166210607,0.0459442080714391,"NDMC","Central"
"33","Paharganj",146479.522711549,44969.2134724456,123335.758123124,52293.189608023,48777.6810629458,3661.98806778873,68481.9067842066,77997.6159273424,7738.45546661535,44614.6363104399,96124.8536417579,55201.7233110408,37823.4651487479,3099.66518196912,92329.7561361481,53372.9627977275,35978.7658970158,2978.0274414047,3795.09750560982,1828.76051331331,1844.6992517321,121.637740564417,"3 13",0.0180799939139206,0.838880969409775,"BYPL","Central"
