"","id_discom","id_subdiv","x","y","area_intersection","id_intersect","grid","area_subdiv","area_discom","weight_in_subdiv","weight_in_discom"
"68","BYPL","Seelampur",-1049283.15766751,3275727.97138954,2401020.65623271,46,"KASHMIRI GATE",45433670.2428318,186262579.40374,0.0528467245415095,0.01289051544287
"69","MES","Delhi Cantonment",-1062454.96770364,3267710.88013846,40972679.2103566,95,"NARAINA",74652275.9513713,47534041.6042469,0.548847020244182,0.861964979781897
"70","MES","Vasant Vihar",-1063290.99514305,3262809.43607791,2718134.00108249,101,"NARAINA",97787044.6336208,47534041.6042469,0.0277964633379252,0.0571828927090357
"71","MES","Najafgarh",-1065675.84220837,3267956.29603996,3843228.3928079,107,"NARAINA",269733276.673263,47534041.6042469,0.0142482545728435,0.0808521275090675
"72","NDMC","Chanakyapuri",-1055444.38855436,3268166.51484074,18535335.8183536,74,"PARK STREET",18948260.9743779,48353308.408283,0.978207754443398,0.383331284425173
"73","NDMC","Paharganj",-1053292.85085138,3272386.54867694,184439.663275826,59,"PARK STREET",4014426.86723512,48353308.408283,0.0459442080714391,0.00381441662106065
"74","NDMC","Karol Bagh",-1055966.6451569,3272322.01700513,820733.884158577,62,"PARK STREET",4662103.07720022,48353308.408283,0.176043701859003,0.0169736862104349
"75","NDMC","Defence Colony",-1052164.94287145,3267713.68110114,2816598.48001981,76,"PARK STREET",48638677.707989,48353308.408283,0.0579086153807421,0.0582503777453483
"76","NDMC","Connaught Place",-1052473.44597846,3270079.98186783,5331476.35421948,68,"PARK STREET",6119752.00935557,48353308.408283,0.871191568885306,0.110260839014403
"77","NDMC","Delhi Cantonment",-1057958.1948577,3269292.61229341,5106793.34949024,94,"PARK STREET",74652275.9513713,48353308.408283,0.0684077382023399,0.105614145496928
"78","NDMC","Parliament Street",-1054555.74206158,3271262.20837802,7596092.45103286,72,"PARK STREET",7640711.49838114,48353308.408283,0.994160354391376,0.157095609402637
"79","NDMC","Hauz Khas",-1055965.75691374,3264578.43212858,2794867.94874829,89,"PARK STREET",164380210.216045,48353308.408283,0.0170024599985301,0.0578009662782355
"80","NDMC","Daryaganj",-1051657.63373694,3270682.39377332,344208.181569567,55,"PARK STREET",6992759.2632897,48353308.408283,0.0492235137246291,0.00711860662486962
"81","NDMC","Vasant Vihar",-1057691.8376574,3265968.49149015,4822762.27741472,100,"PARK STREET",97787044.6336208,48353308.408283,0.0493190309154366,0.0997400681809101
"82","NDPL","Civil Lines",-1052484.89328605,3283646.52375976,30245585.6797524,40,"GOPALPUR",59705912.309326,529592854.173852,0.506576057711928,0.0571110154553248
"83","NDPL","Model Town",-1054105.60158656,3280382.51566704,12255670.8827935,18,"GOPALPUR",23322509.0423438,529592854.173852,0.525486810211647,0.0231416847606677
"84","NDPL","Karol Bagh",-1055295.8472493,3274859.95733651,5456.14099904244,64,"SUBZI MANDI",4662103.07720022,529592854.173852,0.00117031753882179,1.03025200510944e-05
"85","NDPL","Patel Nagar",-1061130.39671679,3276250.78709999,650302.252168287,30,"SHALIMARBAGH",55165059.5244373,529592854.173852,0.0117882996551506,0.0012279286758556
"86","NDPL","Paharganj",-1054750.65923173,3274819.43420315,462360.901948452,61,"SUBZI MANDI",4014426.86723512,529592854.173852,0.115174822518786,0.000873049736801529
"87","NDPL","Narela",-1058325.20751062,3295891.83054756,80944972.8973138,5,"NARELA",273957195.070178,529592854.173852,0.29546576747721,0.152843778497702
"88","NDPL","Delhi Cantonment",-1060323.3557402,3272833.85887211,10185668.7374794,99,"SUBZI MANDI",74652275.9513713,529592854.173852,0.136441503057647,0.0192330176987918
"89","NDPL","Narela",-1067223.36624494,3292085.99661642,118272494.445621,4,"BAWANA",273957195.070178,529592854.173852,0.431718883730443,0.223327209786699
