"","Time","BRPL_summer","BYPL_summer","NDPL_summer","NDMC_summer","MES_summer"
"20","04:45 - 05:00",1320.23732293856,706.053030194175,814.728362944938,118.070682524272,22.3867346601942
"21","05:00 - 05:15",1315.53251342399,705.469085145631,809.394625177948,117.19150038835,22.8055311650485
"22","05:15 - 05:30",1301.11567400652,703.117901067961,801.015822459501,115.467171067961,22.9999091262136
"23","05:30 - 05:45",1289.74486526865,701.337621456311,794.453717508045,113.514371456311,23.309477961165
"24","05:45 - 06:00",1284.05935381234,704.375898058252,789.187264692511,112.376700776699,23.7515705825243
"25","06:00 - 06:15",1281.92118255021,714.53765631068,788.59918362455,113.052821165049,24.1619438834951
"26","06:15 - 06:30",1274.36603400652,721.026826893204,788.261154304162,114.210045242718,24.3803363106796
"27","06:30 - 06:45",1268.76981284147,726.294978349515,786.744204304162,116.564766019417,24.5353791262136
"28","06:45 - 07:00",1260.71103886089,728.262986019417,783.733947993482,119.970198058252,24.6574483495146
"29","07:00 - 07:15",1255.79768332691,728.740813592233,780.899342071152,124.352968737864,24.7920778640777
"30","07:15 - 07:30",1246.61393439487,726.23552815534,780.38753954688,129.163704271845,25.0257323300971
"31","07:30 - 07:45",1242.5145295405,725.625043398058,780.721286634259,134.305529320388,25.4898027184466
"32","07:45 - 08:00",1240.97133808419,725.782078737864,782.141334304162,140.558741359223,25.977814368932
"33","08:00 - 08:15",1241.65566585118,727.797267378641,785.804141585715,148.061633786408,26.6071963106796
"34","08:15 - 08:30",1246.51110390943,728.227670097087,788.623628673094,156.93757184466,27.2874991262136
"35","08:30 - 08:45",1256.47504526865,729.800613592233,794.107444789599,166.83619592233,27.8575482524272
"36","08:45 - 09:00",1274.59992235603,734.206463398058,801.852225177948,177.148730873786,28.3151033009709
"37","09:00 - 09:15",1305.39770022011,745.02510592233,819.242575372123,188.452497864078,28.7297942718447
"38","09:15 - 09:30",1337.83716662788,761.849371941748,855.302749741055,199.728559223301,29.0497639805825
"39","09:30 - 09:45",1370.41861633662,778.522509029126,896.431442362414,210.296083106796,29.3143422330097
"40","09:45 - 10:00",1400.33204779293,794.976618834951,928.558280323579,219.573530097087,29.5711094174757
"41","10:00 - 10:15",1427.26483128807,808.028371941748,953.616272459502,227.553442524272,29.751397961165
"42","10:15 - 10:30",1447.13069672496,820.608394271845,973.45663139154,233.550203495146,29.880863592233
"43","10:30 - 10:45",1463.13958449195,833.036142621359,988.852595275036,238.04229631068,29.9538695145631
