Time,winter_in_Megawatts,summer_in_Megawatts,monsoon_in_Megawatts,fall_in_Megawatts
20:45 - 21:00,640.935199067055,897.61365823301,931.085722661188,681.844574092404
21:00 - 21:15,620.31368361516,888.911928757282,922.120152226405,662.395989392951
21:15 - 21:30,606.681588688047,889.387962174757,923.367064255391,651.716229392951
21:30 - 21:45,593.673279650146,894.273919417476,928.866574980028,643.287362507705
21:45 - 22:00,578.561756034985,901.662364407767,935.312656284376,634.293593545956
22:00 - 22:15,554.489762565598,906.03227992233,936.242228168434,621.247331032295
22:15 - 22:30,535.952993236152,913.193598834951,943.193622081478,611.861599447595
22:30 - 22:45,517.042408046647,916.949057902913,947.539517298869,601.582465458524
22:45 - 23:00,496.140536443149,917.055709883495,947.74278193655,589.410667207158
23:00 - 23:15,469.818500291545,909.395947378641,939.624428168434,572.450738026831
23:15 - 23:30,445.48894787172,904.582707398058,932.959648458289,556.801843600601
23:30 - 23:45,422.341579008746,896.470259223301,923.989134690173,542.043831360164
23:45 - 24:00,400.334857959184,885.452924621359,910.446719472782,527.60516950224
TOTAL IN Mus,13.2423661302157,20.0573803622476,20.5008125562815,14.3684506339554
